TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
note,"1\.      UŽKLAUSTA SPALIO 29 D., ATSAKYTA SPALIO 29 D., IA PATVIRTINO SPALIO 30 D.

**From:** Ineta Dišytė <[Ineta.Disyte@Santa.Lt](mailto:Ineta.Disyte@Santa.Lt)>
**Sent:** 2025 m. spalio 29 d., trečiadienis 12:03
**To:** Danutė Užusenienė <[Danute.Uzuseniene@santa.lt](mailto:Danute.Uzuseniene@santa.lt)>; Rasa Stackevičienė <[Rasa.Stackeviciene@santa.lt](mailto:Rasa.Stackeviciene@santa.lt)>
**Subject:** RE: Dėl pirkimo 10118 duomenų patikslinimo

Projekto pabaiga už 6 mėn. ( 2026-04-30) , o sutarties terminas 13 mėnesių? Nors aš turiu kitą projektą, kur Kauno klinikos yra pasirašę sutarties galiojimą ilgesnį už patį projektą. CPVA tik perklausė ir daugiau nesikabino. Tai gal ir nieko ir šiuo atveju. **Ineta Dišytė**

**From:** Danutė Užusenienė <[Danute.Uzuseniene@santa.lt](mailto:Danute.Uzuseniene@santa.lt)>
**Sent:** Wednesday, October 29, 2025 12:20 PM
**To:** Ineta Dišytė <[Ineta.Disyte@Santa.Lt](mailto:Ineta.Disyte@Santa.Lt)>; Rasa Stackevičienė <[Rasa.Stackeviciene@santa.lt](mailto:Rasa.Stackeviciene@santa.lt)>
**Subject:** RE: Dėl pirkimo 10118 duomenų patikslinimo

Sveiki, 1. Pradiniame etape teikiant paraišką norėta sumažinti trukmę (Birutė nepritarė). Tam, kad sumažinti, reikia keisti pirkimo planą. Kad neįsivelti į biurokratinius procesus, trukmę keisti netikslinga, nebent manote kitaip. Pirkimai vykdomi tokiu principu, kad nusiperkame, o paskui kompensuoja. Tiksliai apskaičiuoti trukmę sudėtinga (priklauso nuo techninės specifikacijos rengėjo per kiek laiko paruošia dokumentaciją, per kiek laiko visi suvizuoja, per keik laiko bus paskelbta, ar bus pratęstas projektas, per keik laiko tiekėjas atsiveš prekes... galim keisti, bet pakeisti vėl netiksliai).Sutarties vykdymo trukmė palikta tokia, kokia numatyta pirkimo plane:        Pasirašius sutartį prekes užsakytume iškart. 2. Yra tiekėjų, kurie nesutinka teikti pasiūlymų, jei bus apmokėjimas per 60 dienų, todėl paraiškoje nurodyta 30 dienų. 3. Iš to seka, kad sutarties galiojimas yra 12 mėn.+1 mėn apmokėjimui (30 d.).  

**From:** Danutė Užusenienė <[Danute.Uzuseniene@santa.lt](mailto:Danute.Uzuseniene@santa.lt)>
**Sent:** Wednesday, October 29, 2025 1:54 PM
**To:** Rasa Stackevičienė <[Rasa.Stackeviciene@santa.lt](mailto:Rasa.Stackeviciene@santa.lt)>; Ineta Dišytė <[Ineta.Disyte@Santa.Lt](mailto:Ineta.Disyte@Santa.Lt)>
**Subject:** RE: Dėl pirkimo 10118 duomenų patikslinimo

Galima įterpti tokį sakinuką kur į dokumentaciją:

Ši sutartis galioja 13 (trylika) mėnesių nuo jos pasirašymo dienos. Pažymima, kad projektas, pagal kurį planuojami pirkimai pagal šią sutartį, įgyvendinamas iki 2025 m. balandžio 30 d. Koordinuojančioms agentūroms pritarus, projekto įgyvendinimo laikotarpis gali būti pratęstas. Atsižvelgiant į tai, visi pirkimų vykdymo, prekių tiekimo ir paslaugų teikimo veiksmai turi būti įvykdyti projekto įgyvendinimo laikotarpiu.

**Nuo:** Ineta Dišytė <[Ineta.Disyte@Santa.Lt](mailto:Ineta.Disyte@Santa.Lt)>
**Išsiųsta:** 2025 m. spalio 30 d., ketvirtadienis 11:17
**Iki:** Danutė Užusenienė <[Danute.Uzuseniene@santa.lt](mailto:Danute.Uzuseniene@santa.lt)>; Rasa Stackevičienė <[Rasa.Stackeviciene@santa.lt](mailto:Rasa.Stackeviciene@santa.lt)>
**Tema:** RE: Dėl pirkimo 10118 duomenų patikslinimo Labas, Susisiekiau su Inovacijų Agentūra. Jie neprieštarauja, kad sutartis būtų 12 mėn. Svarbu, kad pateikti užsakymai, gautos prekės ir apmokėta  būtų iki  projekto pabaigos.",,,,,Danutė (43831156),,2025-11-07T07:13:37.045000Z,,,,,,
note,Pirkimas paskelbtas: [https://www.viesiejipirkimai.org/pirkimas/431655](https://www.viesiejipirkimai.org/pirkimas/431655),,,,,Danutė (43831156),,2025-11-07T07:13:53.134000Z,,,,,,
note,"ŽEMIAU NURODYTI ASMENYS BUS ĮTRAUKTI Į CVP IS, KAD GALĖTŲ MATYTI EIGĄ:

1)     Gedmantė Radžiuvienė 2)     Aida Laurinavičienė 3)     Danutė Užusenienė",,,,,Danutė (43831156),,2025-11-07T07:16:14.460000Z,,,,,,
note,"Suprantu, kad Danute kuruoja si procesa, o mes su Gedmante turesime galimybe stebeti. Del atsakomybiu tikslinu.",,,,,Aida (43629179),,2025-11-07T12:35:51.103000Z,,,,,,
note,"**From:** Rasa.Stackeviciene@santa.lt; **To:** Danute.Uzuseniene@santa.lt
Laba diena, priežastys: tinkami pirkimo dokumentų tvirtinimai (tame tarpe užtrukome kelias dienas dėl sutarties trukmės tikslaus išsiaiškinimo) ir terminų laikymasis pagal VPĮ numatytus, kurie negali būti trumpesni nei 35 dienos (jei tai sutampa su savaitgaliu-persikelia į darbo dieną, kas šiuo atveju taip pat yra). Pagarbiai, **Rasa Stackevičienė,** Vyr. specialistė 

**Nuo:** [Danute.Uzuseniene@santa.lt](mailto:Danute.Uzuseniene@santa.lt); **Iki:** [Rasa.Stackeviciene@santa.lt](mailto:Rasa.Stackeviciene@santa.lt)
Sveiki, vadovas pranešė visiems projekto partneriams, kad pagal jūsų teiktą info šį penktadienį (2025-11-21) bus vokų plėšimas. Kaip suprantu, pasikeitė terminai. Kokią priežastį turėčiau nurodyti? Danutė

**From:** [Rasa.Stackeviciene@santa.lt](mailto:Rasa.Stackeviciene@santa.lt); **To:** Danutė Užusenienė <[Danute.Uzuseniene@santa.lt](mailto:Danute.Uzuseniene@santa.lt) Laba diena, Danute, siunčiu Jums nuorodas į pirkimą (nes nei Jūsų, nei kitų nurodytų asm. nėra CVP IS sistemoje). Reagentai pažangiems patologijos tyrimams (10118) Pirkimo ID 5183126 [European Dynamics - Peržiūrėti pirkimo informaciją](https://viesiejipirkimai.lt/epps/cft/prepareViewCfTWS.do?resourceId=5183126)",,,,,Danutė (43831156),,2025-11-19T06:58:39.789000Z,,,,,,
note,**Pasiūlymų pateikimo terminas 2025-12-08**,,,,,Danutė (43831156),,2025-11-26T08:01:06.666000Z,,,,,,
note,"2025-12-05 d. visiems tiekėjams priminta pateikti pasiūlymus, akcentuota, kad turi pateikti pasiūlymą su 21 proc. PVM. 2025-12-08 d. anksti ryte patikrinta - visi tiekėjai pasiūlymus pateikė. Vokų plėšimas 9 val. Po plėšimo viešųjų pirkimų specialistė Rasa pateiks pasiūlymus ekspertiniam vertinimui Gedmantei.",,,,,Danutė (43831156),,2025-12-08T06:43:32.789000Z,,,,,,
note,kaip sekasi?,,,,,Arvydas (43613934),,2025-12-10T07:34:06.487000Z,,,,,,
note,"Priminimai nuo vokų plėšimo kasdien VP rašomi el paštu + skambučiais. Anot VP specialistės Rasos, suteikė prieigą Gedmantei prie sistemos, kad nereiktų siuntinėti didelių failų, dar parašys jai e-mailu. Sutarta, kad būtų greičiau, Rasa persiųs Iliumina pasiūlymą (kurio labiausiai laukiama) el paštu Gedmantei vertinimui.",,,,,Danutė (43831156),,2025-12-10T07:50:43.686000Z,,,,,,
note,"Pirkimo pasiūlymai įvertinti, pateikti, VP specialistė informuota apie skubą.",,,,,Danutė (43831156),,2025-12-16T08:00:22.633000Z,,,,,,
note,"Aptarta su Gedmante, kad ji peržiūrės ar yra reagentų ir kokie jie yra, kuriuos būtų poreikis įsigyti anksčiau. Tai žinant būtų galimybė kreiptis į tiekėją, kad jis atsivežtų prekes į Lietuvą ir sutrumpėtų logistikos grandinė net iki sutarties pasirašymo. Gedmantė daug reagentų turi, reagentų galiojimas yra ribotas, todėl ji dar įvertins ar reikia skubinti procesą.",,,,,Danutė (43831156),,2025-12-23T07:41:04.926000Z,,,,,,
task,IHC/molekulinių reagentų pirkimas,,,4,2,Danutė (43831156),,,,Europe/Vilnius,,,,
note,1. Dovilė pateikė siūlomų įsigyti antikūnų sąrašą. 2 Reikia galutinio sprendimo ką siūlote pirkti.,,,,,Danutė (43831156),,2025-09-23T11:42:01.245000Z,,,,,,
note,"Pagal laboratorijos parengtą specifikaciją inicijuotas pirkimas. Vadovų posėdžio metu sutarta, kad šio pirkimo ekspertu bus Loreta (taip nurodyta dokumentacijoje).",,,,,Danutė (43831156),,2025-10-13T06:00:59.967000Z,,,,,,
note,"Reagentų pirkimas. Inicijavimo procesas baigtas, dabar VP rengia dokumentus paskelbimui.",,,,,Danutė (43831156),,2025-11-14T14:28:10.881000Z,,,,,,
note,"**From:** Jolita.Balandiene@santa.lt; **Sent:** 2025 m. lapkričio 19 d., trečiadienis 10:31
**To:** Danute.Uzuseniene@santa.lt
**Subject:** RE: Reagentai molekuliniams tyrimams

 Laba diena, Pasistengsiu dokumentus pirkimui parengti kuo skubiau. Jei bus neaiškumų, susisieksiu. **Jolita Balandienė** Vyr. viešųjų pirkimų specialistė",,,,,Danutė (43831156),,2025-11-19T10:13:10.292000Z,,,,,,
note,"Balandienei periodiškai priminta, kad aktualu paskelbti pirkimą",,,,,Danutė (43831156),,2025-11-26T07:40:54.247000Z,,,,,,
note,Plesimas Nov 21?,,,,,Arvydas (43613934),,2025-11-26T07:56:37.116000Z,,,,,,
note,"Pirkimas suderintas, turi paskelbti VP skyrius (Balandienė)",,,,,Danutė (43831156),,2025-11-26T08:01:45.141000Z,,,,,,
note,"VULSK teisininkai pirkimo dokumentams yra pritarę, planuojama pirkimą paskelbti dar 2025 metais.",,,,,Danutė (43831156),,2025-12-23T07:41:58.288000Z,,,,,,
note,"Pirkimas paskelbtas 2025-12-23, susipažinimas su pasiūlymais 2026-01-14 10:30.

[https://viesiejipirkimai.lt/epps/cft/prepareViewCfTWS.do?resourceId=5945317](https://viesiejipirkimai.lt/epps/cft/prepareViewCfTWS.do?resourceId=5945317)",,,,,Danutė (43831156),,2025-12-31T07:27:58.712000Z,,,,,,
task,Nuspręsti koks yra galutinis perkamų antikūnų sąrašas,,,4,3,Danutė (43831156),Arvydas (43613934),,,Europe/Vilnius,,,,
task,Parengti specifikaciją pagal anksčiau pirktų reagentų pavyzdį (Aida),,,4,3,Danutė (43831156),Aida (43629179),,,Europe/Vilnius,,,,
note,"Loretai ir Aidai persiųsti Dovilės atrinkti IHC prašant iš ankstesnių pirkimų surinkti atntikūnų aprašymus/reikalavimus, t.y. parengti specifikaciją",,,,,Danutė (43831156),,2025-09-19T07:21:02.478000Z,,,,,,
note,"Per vadovų susirinkimą Aida nurodė, kad dokumentacijoje kaip atsakingą specifikacijos rengėją įvardinti Loretą.",,,,,Danutė (43831156),,2025-11-14T14:31:23.332000Z,,,,,,
task,Biudžeto keitimas: 1) pagrindimas 2) finansai 3) IA ir CPVA pritarimas,,,4,2,Danutė (43831156),Danutė (43831156),,,Europe/Vilnius,,,,
note,"Siunčiamo rašto projektas parengtas, pateiktas direktoriui derinimui (Vietoj slaugytojos būtų darbinami: Rytis, Jarvis, Dovilė). Laukiame atsakymo ar Rytis planuoja įsitraukti.",,,,,Danutė (43831156),,2025-11-07T12:42:50.650000Z,,,,,,
note,"Ryčiui atsakius ieškoma kitų kandidatų (Arvydas, Danutė)",,,,,Danutė (43831156),,2025-11-14T14:23:03.855000Z,,,,,,
note,"Paulius M, Trinkunas J.",,,,,Arvydas (43613934),,2025-11-19T06:32:41.110000Z,,,,,,
note,Ar aiškios Pauliaus ir Justo DU proporcijos? Po lygiai?,,,,,Danutė (43831156),,2025-11-19T07:41:23.896000Z,,,,,,
note,"1) parengtas galutinis rašto projektas suderintas su IA (Keršiene), 2) pateiktas derinimui VULSK atsakingiems asmenims 3) siunčiamas oficialus raštas vizuojamas EROJE",,,,,Danutė (43831156),,2025-11-26T07:39:58.245000Z,,,,,,
note,"Oficialus pasirašytas raštas dėl Oncointegra lėšų perskistymo ir naujų darbuotojų įdarbinimo (Jarvis, Justas T) + daliai darbo krūvio padidinimo pateiktas IA.",,,,,Danutė (43831156),,2025-12-03T06:26:22.616000Z,,,,,,
note,"Inovacijų agentūrai priminta, kad laukiame atsakymo dėl darbuotojų darbinimo (įtrauktas vadovas Karolis)",,,,,Danutė (43831156),,2025-12-16T15:18:51.751000Z,,,,,,
note,"IA ir CPVA pritarė mūsų raštui. Vietoj slaugytojos nuo 2025-01-02 d. bus darbinamas Trinkūnas, Jarvis ir nedideliu krūviu padidinamas Dovilės krūvis projekte.",,,,,Danutė (43831156),,2025-12-17T07:59:15.847000Z,,,,,,
note,aciu!,,,,,Arvydas (43613934),,2025-12-17T08:00:20.771000Z,,,,,,
note,"1) Jarvio, Justo, Dovilės prašymai dėl įsidarbinimo vizuojami. Jarvio ir Justo prašymus direktorė valdymui jau pavizavo; su Jarvio trimis prašymais susipažino GD.
2) Papildomai parašytas laiškas kitiems vizuotojams (Grigentienei, Pocevičiui) dėl DU apmokėjimo į vieną iš Jarvio pasirinktų sąskaitų.",,,,,Danutė (43831156),,2025-12-30T14:57:58.158000Z,,,,,,
task,Darbuotojų darbinimai,,,4,2,Danutė (43831156),Danutė (43831156),,,Europe/Vilnius,,,,
note,"1. Mantui ir Kristinai neleidžia gretinti projekto valandų su gydytojo rezidento pareigybe - sudėtinga panaudoti suplanuotas projekto valandas 2) Aistės įsidarbinimo prašymas atmestas - reikia pagrįsti jos funkcijas projekte 3) Kitų asmenų prašymai suvizuoti, žmonės darbinami.",,,,,Danutė (43831156),,2025-09-19T06:59:29.443000Z,,,,,,
note,Visi suplanuoti darbuotojai įdarbinti. Nepaskirstytas slaugytojos Malinauskienės DU.,,,,,Danutė (43831156),,2025-11-07T12:44:38.149000Z,,,,,,
task,Ataskaitos,,,4,2,Danutė (43831156),,,,Europe/Vilnius,,,,
note,"Prašė Julius Gagilas pateikti 07-08 mėn. ataskaitas agentūroms, bus aptariama 2025-09-30 d. 14 val. Projektą pateikiau 2025-09-29 d. AL, KS, DŽ, laukiu pritarimo/korekcijų: [2_ONCOINTEGRA_2025_07_08_monthly_report.pptx - Google Slides](https://docs.google.com/presentation/d/1offd7yw9Jxqjlf2C-pd1a7-GmDO7qIEG/edit?slide=id.p4#slide=id.p4)",,,,,Danutė (43831156),,2025-09-30T06:41:23.818000Z,,,,,,
note,"Papildyta neekonominės veiklos ataskaita: nebeminimas Vugene pavadinimas ir akcentuojama, kad duomenis įkelsime į Midas duomenų bazę ir visi galės naudotis rezultatais (tarp jų bus ir Vugene). Tiesiai Vugene nieko nepateiksime.

Lauksiu pritarimo arba korekcijų su „track changes“.",,,,,Danutė (43831156),,2025-10-13T06:03:11.514000Z,,,,,,
note,Atsakymų į klausimus projektas (Martynai/Nugarui) persiųstas tolimesniam redagavimui,,,,,Danutė (43831156),,2025-10-13T06:15:03.521000Z,,,,,,
note,Parasiau jiems email siandien.,,,,,Arvydas (43613934),,2025-10-13T18:54:37.289000Z,,,,,,
note,Parengta ir pateikta Oncointegra projekto 2025 m. 10 ir 11 mėn. ataskaita,,,,,Danutė (43831156),,2025-12-03T06:27:36.370000Z,,,,,,
task,The Hub,,,2,2,Arvydas (43613934),,yesterday,en,Europe/Vilnius,,,,
task,Hex4Path IT paraiška,"[Network • Co-Intell / F2 • Kumu](https://kumu.io/arvylau/network#co-intell/hex4path)

Kvietimas: “Informacinės technologijos mokslo ir žinių visuomenės plėtrai”

Projektas: Technology Platform for Hexagonal Grid Analytics in Pathology (Hex4Path)

Komanda:

1. Allan Rasmusson
2. Arvydas Laurinavičius
3. Aida Laurinavičienė
4. Vincas Urbonas
5. Dovilė Žilėnaitė-Petrulaitienė
6. Paulius Milmantas
7. Vygantė Maskoliūnaitė
8. Martynas Riauka
9. Sören Marx
10. Vilhelmas Konstantinas Landsbergis
11. Edgaras Zaboras
12. Student (IT Specialist)
13. Student (Data Analyst)
14. Student (Data Analyst)",,2,1,Danutė (43831156),jolita.jaskoniene (48808321),,,Europe/Vilnius,,,,
note,2025 gegužės pabaigoje turėtų pasirodyti pirminiai paraiškų vertinimai,,,,,Danutė (43831156),,2025-05-09T08:01:08.679000Z,,,,,,
note,"Pakeistas terminas. Planuojama, kad paraiškų rezultatai bus iki birželio 20 dienos.",,,,,Danutė (43831156),,2025-05-28T12:24:35.019000Z,,,,,,
note,pradzia Sept 1,,,,,Arvydas (43613934),,2025-06-24T15:25:34.263000Z,,,,,,
note,Teikta paraiška laimėjo. Pasirašyta finansavimo sutartis.,,,,,Danutė (43831156),,2025-07-30T07:02:35.905000Z,,,,,,
,,,,,,,,,,,,,,
section,THISWEEK,,False,,,,,,,,,,,
section,SUBMITTED,,False,,,,,,,,,,,
section,ARCHIVED,,False,,,,,,,,,,,
task,PATHFINDER PARAISKA MACIULAITIS,"Per VU, kovo 7

\filesrv\Projects\Projektai",,2,1,Arvydas (43613934),Danutė (43831156),,,Europe/Vilnius,,,,
note,applied wit VU,,,,,Arvydas (43613934),,2024-03-20T06:20:11.875000Z,,,,,,
task,Startiniai galimybių paketai,"Erika:
Danutei balandžio pradžioje persiunčiau  šabloną ir kitą informaciją, susijusią su CPVA paraiškos rengimu. Atkreipiu dėmesį, kad papildytas PFSA šia informacija: didžiausia galima tinkamų finansuoti išlaidų suma veiklai „startiniai galimybių projektai” - iki 30 000 Eur (projekto trukmė iki 12 mėn.), **jeigu projektas įgyvendinamas programos „Europos horizontas“ misijų srityse – iki 60 000 Eur.**

Paraiškai parengti man reikės iš jūsų trumpo projekto idėjos aprašymo, t.y. trumpai apibūdinti, kokį projektą planuojama teikti HE kvietimui, kokia MTEP veikla bus vykdoma šio projekto metu, kokie projekto tikslai, kokios problemos sprendžiamos ir pan. Ši informacija reikalinga pagrįsti, kad jums reikalingos pvz. komandiruotės (viena iš jų bus į Paryžių), kad susirastumėte projekto partnerių šiai idėjai įgyvendinti, nes planuojate teikti HE paraišką XXX kvietimui. Tuomet galėsime paieškoti, kuri HE priemonė tiktų pagrindimui (Marie Curie (Personalo mainai), Vėžio misijos ar kt.)

CPVA paraiškoje nusimatysite konkrečias išlaidas (kelionės, DU ir/ar paslaugos), kurių reikia, kad galėtumėte pateikti HE paraišką (kokiuose reginiuose reikia sudalyvauti, kad susirastumėte partnerių, ką reikėtų patikrinti, kas dabar nėra aišku dėl tos idėjos, kokių duomenų reikia, kaip turėtų vykti MTEP idėjos patikrinimas).

Nuo kito antradienio iki gegužės 10 d. atostogausiu, tai jei per tą laiką paruošite šią info, grįžusi iš atostogų galėsiu Jums padėti užpildyti paraišką.",,1,1,Arvydas (43613934),,,,Europe/Vilnius,,,,
note,"Parengtas pagrindimo projektas, kad paraiška galėtų gauti 60 tūkst. Eur. (\filesrv\Projects\Projektai\1_TEIKIAM PARAISKAS\95_Startinių galimybių projektai_kelionė į Paryžių\1_Paraiska)",,,,,Danutė (43831156),,2024-07-17T06:42:17.413000Z,,,,,,
task,ESDP Vilnius 2024,"[European Society of Digital and Integrative Pathology | ECDP2024 | 20th European Congress on Digital Pathology 2024](https://www.ecdp2024.org/)

[ECDP 2024 (gediminasgrazys.lt)](https://galerijos.gediminasgrazys.lt/-ecdp2024/gallery)",,1,1,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,Kvietimas tapti MSCA podoktorantūros stažuotojų vadovu - papildoma informacija,"[MSCA POSTDOCTORAL FELLOWSHIPS AT VU FACULTY OF MEDICINE, INSTITUTE OF BIOMEDICAL SCIENCES, DEPARTMENT OF PATHOLOGY AND FORENSIC MEDICINE (nephropathology; tumor microenvironment; computational biomarkers; pathology informatics; artificial intelligence) | EURAXESS (europa.eu)](https://euraxess.ec.europa.eu/jobs/hosting/msca-postdoctoral-fellowships-vu-faculty-medicine-institute-biomedical-sciences-0)",,1,1,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,Jarvis,,,4,2,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,Norman,,,4,2,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,Nasir,,,4,2,Arvydas (43613934),,,,Europe/Vilnius,,,,
task,Podoktorantūros stažuotės kvietimas,"**Paraiškos pateikimo terminas -** 2025-06-06 16:00

**Kvietimas**: https://lmt.lrv.lt/lt/kvietimai/kvietimas-teikti-paraiskas-podoktoranturos-stazuociu-projektams/

**LMT kvietimas. Nuotoliniai mokymai: gegužės 23 d.** – 10 val. mokymai vyks Lt kalba, o 14 val. – EN kalba.  Mokymų nuoroda: [čia](https://teams.microsoft.com/l/meetup-join/19%3ameeting_YTY1YjkyNGItODMyMC00N2U5LThkMzEtMjNiZjhhOTQ0ZmYy%40thread.v2/0?context=%7b%22Tid%22%3a%2263e70ace-aacd-421b-a838-80b7616cf184%22%2c%22Oid%22%3a%22848e3c0e-635c-4484-8faf-54e67ecc6dad%22%7d).  Išankstinė registracija nereikalinga.

**Kvietimui** numatoma skirti **8 mln. Eur.**

**Projekto trukmė** - 24 mėn., o **projekto vertė** iki 130 000 Eur, kurioje netiesioginės išlaidos gali sudaryti iki 10 proc. projekto išlaidų sąmatoje numatytų tiesioginių išlaidų sumos. **Stažuotės vadovo darbo užmokesčio išlaidos į projekto išlaidų sąmatą neįtraukiamos.**

**Paraiškų pateikimo terminas** - iki 2025-06-06 16 val. **Stažuotojas** Lietuvos mokslo tarybos paraiškų ir ataskaitų elektroninėje teikimo **sistemoje** [https://junkis.lmt.lt](https://junkis.lmt.lt/) **turi pateikti paraišką ir šiuos priedus:** vykdančiosios institucijos raštą dėl projekto vykdymo užtikrinimo (lietuvių kalba), dokumentų dėl stažuotojo nėštumo ir gimdymo atostogų, tėvystės atostogų ar vaiko priežiūros atostogų suteikimo  ar vaiko (-ų) gimimo liudijimo (-ų) kopijas (jei taikoma), duomenų valdymo plano esmines nuostatas (anglų kalba, jei taikoma), įgaliojimą Mokslo ir inovacijų departamento direktorei (lietuvių kalba).

**Stažuotojas ir stažuotės vadovas** **gali būti nurodyti** tik vienoje to paties kvietimo paraiškoje. **Asmuo (stažuotojas arba stažuotės vadovas) gali būti nurodyti paraiškoje, jei** paskutinę kvietimo teikti paraiškas dieną jam **nėra taikomi** Lietuvos mokslo tarybos mokslo ir sklaidos [projektų konkursinio finansavimo bendrųjų taisyklių 7.7, 76–80 punktuose](https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/9f1a51a257da11e9a461a9899f91e827/asr) nurodyti **apribojimai svarstyti paraiškas.**

**Vykdančioji institucija turi būti** Lietuvos mokslo ir studijų institucija. **Vykdančioji institucija turi būti kita nei ta, kurioje stažuotojas parengė daktaro** **disertaciją**. Instituciją, kurioje disertacija parengta, galima pasitikrinti čia: [Lietuvos mokslo taryba - Duomenų peržiūra » Disertacijų gynimų duomenų bazė » Disertacijų gynimų duomenų bazė](https://db.lmt.lt/lt/perziura/disertacijos/d-db.html).

**Stažuotojas suprantamas** **kaip tyrėjas,** turintis Lietuvos arba užsienio mokslo ir studijų institucijos suteiktą mokslo (meno) daktaro laipsnį, ir kuriam **nuo mokslo (meno) daktaro disertacijos apgynimo dienos** iki kvietime nurodyto paraiškų pateikimo termino dienos **yra praėję ne daugiau kaip 7 metai** (šis laikotarpis pratęsiamas 18 mėnesių (motinos nėštumo ir gimdymo, vaiko priežiūros atostogų atveju) už kiekvieną vaiką, gimusį iki ar po daktaro laipsnio įgijimo dienos, pateikus vaiko (-ų) gimimo liudijimus, arba konkrečiu faktiniu laikotarpiu, pateikus dokumentus, pagrindžiančius nėštumo ir gimdymo, tėvystės atostogų ar atostogų vaikui (-ams) prižiūrėti suteikimo laikotarpį (-ius)) bei vykdantis projekte numatytą mokslo (meno) tiriamąjį darbą.

**Bendra stažuotojo darbo laiko norma** projekto įgyvendinimo metu turi būti **40 valandų per savaitę (1 etatas),** įskaičiuojant mokslo ir studijų institucijų mokslo darbuotojams suteikiamas kasmetines atostogas. **Projekto įgyvendinimo metu stažuotojas turi išvykti stažuotis** į užsienio mokslo ir studijų instituciją ar mokslinių tyrimų centrą, laboratoriją, įmonę, įstaigą, biblioteką, archyvą, ekspediciją ir kt. **Minimali išvykos trukmė – 30 kalendorinių dienų.** Išvykos laikotarpis gali būti skaidomas į dalis, kurių viena turi būti ne trumpesnė kaip 15 dienų.

**Stažuotės vadovas suprantamas** **kaip** vykdančiojoje institucijoje **dirbantis** **mokslininkas ar menininkas**, kuris projekto įgyvendinimo metu vadovauja stažuotojo vykdomam mokslo (meno) tiriamajam darbui. **Podoktorantūros stažuotei neturi vadovauti stažuotojo daktaro disertacijos vadovas.**

**Ekspertiniam vertinimui teikiamos tik administracinės patikros reikalavimus atitikusios paraiškos.** Jei paraiška neatitiks 1–3 punktuose nurodytų administracinės patikros kriterijų, jų pataisyti nebus galima. Paraiškų ekspertinis vertinimas bus atliekamas vadovaujantis LMT pirmininko patvirtintu Projektų ir jų ataskaitų ekspertinio vertinimo tvarkos aprašu ir ekspertinio vertinimo formomis skirtomis HS, GTMŽ ir CV srities paraiškoms. Paraiškas vertina vadovaujantis LMT ekspertų ir jų veiklos bendrosiomis taisyklėmis sudarytos užsienio ekspertų komisijos.

**Paraišką derinti su:**

Vilma Rutkauskaitė, tel. (+370 5) 219 3201, el.p. [vilma.rutkauskaite@cr.vu.lt](mailto:vilma.rutkauskaite@cr.vu.lt) (konsultuojami padaliniai: FF, KF, MF, TF)",,1,1,Arvydas (43613934),Danutė (43831156),,,Europe/Vilnius,,,2025-08-20,en
note,Neteikiama,,,,,Danutė (43831156),,2025-08-06T06:21:03.555000Z,,,,,,
